"DisplayName","DisplayValue","RegistryKeyword","RegistryValue"
"Sleep on WoWLAN Disconnect","Disabled","*DeviceSleepOnDisconnect","System.String[]"
"Packet Coalescing","Enabled","*PacketCoalescing","System.String[]"
"ARP offload for WoWLAN","Enabled","*PMARPOffload","System.String[]"
"NS offload for WoWLAN","Enabled","*PMNSOffload","System.String[]"
"GTK rekeying for WoWLAN","Enabled","*PMWiFiRekeyOffload","System.String[]"
"Wake on Magic Packet","Enabled","*WakeOnMagicPacket","System.String[]"
"Wake on Pattern Match","Enabled","*WakeOnPattern","System.String[]"
"Channel Width for 2.4GHz","Auto","ChannelWidth24","System.String[]"
"Channel Width for 5GHz","Auto","ChannelWidth52","System.String[]"
"Mixed Mode Protection","RTS/CTS Enabled","CtsToItself","System.String[]"
"Channel-Load usage for AP Selection","Disabled","EnableChLoad4ApSelection","System.String[]"
"Fat Channel Intolerant","Disabled","FatChannelIntolerant","System.String[]"
"Transmit Power","5. Highest","IbssTxPower","System.String[]"
"802.11n/ac/ax Wireless Mode","4. 802.11ax","IEEE11nMode","System.String[]"
"MIMO Power Save Mode","Auto SMPS","MIMOPowerSaveMode","System.String[]"
"Roaming Aggressiveness","3. Medium","RoamAggressiveness","System.String[]"
"Preferred Band","1. No Preference","RoamingPreferredBandType","System.String[]"
"Throughput Booster","Disabled","ThroughputBoosterEnabled","System.String[]"
"U-APSD support","Disabled","uAPSDSupport","System.String[]"
"802.11a/b/g Wireless Mode","6. Dual Band 802.11a/b/g","WirelessMode","System.String[]"
