Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,12.0457,NA,4.31390000000000,3.39300000000000,0.30390000000000,4.93490000000000,4.9349,NA,8.0885,4.2611,3.9572,0.3039,5.4991,3.3930,3.3930,0.0000,0.0000,8.0885,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,15.5989,NA,3.55320000000000,3.40800000000000,0.23410000000000,4.78970000000000,4.7897,NA,12.3496,3.4834,3.2493,0.2341,4.6310,3.4080,3.4080,0.0000,0.8531,12.3496,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,21.6587,NA,6.05980000000000,3.97310000000000,0.28120000000000,2.70300000000000,2.7030,NA,15.8330,6.1069,5.8257,0.2812,4.5556,3.9731,3.7680,0.2051,-0.4897,15.8330,8.5458,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,31.9182,NA,10.25950000000000,9.54630000000000,0.39280000000000,1.98980000000000,1.9898,NA,21.9399,10.3711,9.9783,0.3928,2.4218,9.5463,5.8205,3.7258,-3.4394,21.9399,10.8297,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,38.6768,NA,6.75860000000000,7.08750000000000,0.32460000000000,2.31870000000000,2.3187,NA,32.3110,6.6904,6.3658,0.3246,1.5970,7.0875,4.9665,2.1210,3.2836,32.3110,10.4826,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,44.2940,NA,5.61720000000000,5.72450000000000,0.30010000000000,2.42600000000000,2.4260,NA,39.0014,5.5927,5.2926,0.3001,1.9941,5.7245,5.2175,0.5070,0.9659,39.0014,8.7002,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,49.1847,NA,4.89070000000000,4.31280000000000,0.27770000000000,1.84810000000000,1.8481,NA,44.5941,4.8683,4.5906,0.2777,2.1259,4.3128,4.1298,0.1830,1.2799,44.5941,5.6445,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,56.2644,NA,7.07970000000000,7.23770000000000,0.37710000000000,2.00610000000000,2.0061,NA,49.4624,7.1791,6.8020,0.3771,1.5704,7.2377,4.5886,2.6491,-2.3694,49.4624,5.3970,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,61.8787,NA,5.61430000000000,5.22180000000000,0.31690000000000,1.61360000000000,1.6136,NA,56.6415,5.5541,5.2372,0.3169,1.6290,5.2218,4.1190,1.1028,1.9573,56.6415,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,66.8197,NA,4.94100000000000,5.23820000000000,0.31780000000000,1.91080000000000,1.9108,NA,62.1956,4.9419,4.6241,0.3178,1.2967,5.2382,4.5625,0.6757,0.3159,62.1956,8.5313,NA
