Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsAllInputToPhotonLatency,MsClickToPhotonLatency
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,5.0379,NA,2.72300000000000,2.49760000000000,0.33150000000000,1.72670000000000,1.7267,NA,2.6251,2.7443,2.4128,0.3315,1.6419,2.4976,2.4002,0.0974,0.0000,2.6251,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,9.0049,NA,3.96700000000000,3.05840000000000,0.41830000000000,0.81810000000000,0.8181,NA,5.3694,4.0538,3.6355,0.4183,1.3952,3.0584,2.4746,0.5838,-0.3141,5.3694,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,14.4125,NA,5.40760000000000,6.25700000000000,0.35070000000000,1.66750000000000,1.6675,NA,9.4232,5.3400,4.9893,0.3507,0.3998,6.2570,2.9358,3.3212,-2.2032,9.4232,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,20.1589,NA,5.74640000000000,5.57060000000000,0.34690000000000,1.49170000000000,1.4917,NA,14.7632,5.7426,5.3957,0.3469,1.3168,5.5706,2.6966,2.8740,-0.2306,14.7632,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,26.0887,NA,5.92980000000000,6.00000000000000,0.30880000000000,1.56190000000000,1.5619,NA,20.5058,5.8917,5.5829,0.3088,1.1448,6.0000,2.7582,3.2418,-0.2574,20.5058,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,32.1757,NA,6.08700000000000,5.25730000000000,0.32950000000000,0.73220000000000,0.7322,NA,26.3975,6.1077,5.7782,0.3295,1.2531,5.2573,2.6647,2.5926,0.6344,26.3975,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,37.9440,NA,5.76830000000000,6.50120000000000,0.32710000000000,1.46510000000000,1.4651,NA,32.5052,5.7659,5.4388,0.3271,0.4027,6.5012,3.2076,3.2936,-0.3935,32.5052,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,43.8052,NA,5.86120000000000,5.96670000000000,0.39680000000000,1.57060000000000,1.5706,NA,38.2711,5.9309,5.5341,0.3968,1.1380,5.9667,2.7013,3.2654,-0.2008,38.2711,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,48.8478,NA,5.04260000000000,4.99740000000000,0.35020000000000,1.52540000000000,1.5254,NA,44.2020,4.9960,4.6458,0.3502,1.1738,4.9974,2.6705,2.3269,0.9335,44.2020,NA,NA
FortniteClient-Win64-Shipping.exe,6056,0x41525760,DXGI,0,512,1,Hardware: Independent Flip,55.4314,NA,6.58360000000000,6.45370000000000,0.61060000000000,1.39550000000000,1.3955,NA,49.1980,6.8440,6.2334,0.6106,1.1752,6.4537,2.9088,3.5449,-1.4577,49.1980,NA,NA
