elapsed_s,cpu_perf_pct,gpu_temp_c,gpu_power_w,gpu_clock_mhz,gpu_util_pct
0,136.5,68,20.91,1095,36
2,137.6,69,20.92,1155,41
3.3,137,69,21.33,1140,38
4.7,137.8,69,21.73,1170,27
6,140.5,69,21.45,1170,28
7.4,136.8,69,21.19,1230,35
8.8,135,69,21.34,1020,44
10.1,134,69,21.85,1035,37
11.5,138.3,69,21.74,360,84
12.8,139.3,69,21.48,1035,47
14.2,138.5,69,21.48,1095,48
15.5,140,69,21.64,930,45
16.8,139.3,69,21.20,1305,36
18.2,134.4,69,21.34,1125,39
19.5,139.4,69,22.10,1020,33
20.9,139.1,69,21.10,1170,35
22.2,137.8,69,21.05,1155,44
23.6,137.5,69,21.34,1245,31
24.9,135.8,69,21.42,1125,34
26.3,135.8,69,20.64,1350,34
27.6,137.3,69,21.69,1320,27
29,139.1,69,21.86,1305,29
30.3,135.1,69,21.70,1320,29
31.6,135.3,69,21.16,1020,45
33,139.2,69,21.41,900,45
34.3,139.3,69,21.56,945,38
35.7,137.8,69,21.51,1320,27
37.1,136.6,69,21.66,1275,24
38.4,135.3,69,21.48,1260,35
39.7,137.2,69,21.42,1185,33
41.1,137.4,69,21.14,1395,32
42.4,135.2,69,22.05,1305,30
43.8,136.5,69,21.40,1200,33
45.1,136.4,69,21.56,1335,28
46.5,135.7,69,21.88,1335,28
47.8,135.9,69,21.34,1200,30
49.2,136.3,69,21.86,1380,29
50.5,135.2,69,21.36,1230,30
51.9,135.9,69,21.41,1245,34
53.2,136.7,69,21.00,1065,43
54.6,137.4,69,20.69,1380,42
55.9,137.8,69,21.76,1005,41
57.3,137.7,69,21.42,1260,38
58.6,136.3,69,21.82,1365,33
60,137,69,21.63,1140,34
61.3,137.2,69,21.64,1200,31
62.7,135.5,69,21.33,1305,32
64,137.7,68,21.33,1065,43
65.3,136.5,69,21.17,1065,51
66.7,137.7,69,21.27,1335,26
68,137.9,69,20.37,1260,47
69.4,138.4,69,21.89,1170,30
70.8,137.2,69,21.48,1395,29
72.1,137.4,69,21.10,1380,35
73.5,137.9,68,20.84,1170,60
74.8,137.5,68,21.53,1230,35
76.2,138.1,68,20.99,1095,52
77.5,136.3,68,21.34,1170,38
78.8,137.7,68,21.43,1320,40
80.2,136.5,69,21.66,1305,26
81.5,137.1,68,21.15,1155,40
82.9,137.8,68,21.21,1200,39
84.2,137.1,69,21.35,1245,30
85.5,136.9,68,20.89,1365,49
86.9,136.4,68,21.30,1365,34
88.2,135.8,68,21.34,1185,37
89.6,135.3,69,20.93,1200,42
90.9,136.7,69,22.02,1050,29
92.3,131.5,69,21.44,1170,38
93.6,135.4,68,19.56,1275,65
95,135,68,21.19,1185,41
96.3,133.8,68,21.51,1155,36
97.7,135.7,68,21.25,1110,42
99,135.5,69,21.47,1260,31
100.4,135.4,68,21.61,1125,39
101.7,135.6,69,20.86,1365,30
103.1,135.8,69,22.08,1125,31
104.4,135.5,68,21.12,1230,32
105.8,135.8,68,21.69,1155,34
107.1,135.8,68,21.41,1140,45
108.5,136.6,68,21.05,1125,51
109.8,136.7,69,21.10,1200,34
111.2,135.7,68,20.91,1395,32
112.5,135.3,68,21.71,975,42
113.9,136.8,68,21.01,1200,56
115.2,133.6,68,21.61,915,48
116.6,135.5,68,21.66,405,95
117.9,136.6,68,21.26,1035,43
119.3,134.2,68,21.44,1080,39
